dataset,family,rep,n,d,true_k,method,k_hat,runtime,ARI,AMI,NMI
sep_k10_d50,sep,8,800,50,10,UniForCE,10,0.1780552864074707,1.0,1.0,1.0
sep_k10_d50,sep,9,800,50,10,UniForCE,10,0.21248221397399902,1.0,1.0,1.0
sep_k10_d50,sep,10,800,50,10,UniForCE,10,0.1932837963104248,1.0,1.0,1.0
sep_k10_d50,sep,11,800,50,10,UniForCE,10,0.1879560947418213,1.0,1.0,1.0
sep_k10_d50,sep,12,800,50,10,UniForCE,10,0.19062042236328125,1.0,1.0,1.0
sep_k10_d50,sep,13,800,50,10,UniForCE,10,0.19367504119873047,1.0,1.0,1.0
sep_k10_d50,sep,14,800,50,10,UniForCE,10,0.18050432205200195,1.0,1.0,1.0
sep_k10_d50,sep,15,800,50,10,UniForCE,10,0.1767292022705078,1.0,1.0,1.0
sep_k10_d50,sep,16,800,50,10,UniForCE,10,0.18598294258117676,1.0,1.0,1.0
sep_k10_d50,sep,17,800,50,10,UniForCE,10,0.17904114723205566,1.0,1.0,1.0
sep_k10_d50,sep,18,800,50,10,UniForCE,10,0.1944444179534912,1.0,1.0,1.0
sep_k10_d50,sep,19,800,50,10,UniForCE,10,0.18858623504638672,1.0,1.0,1.0
sep_k20_d2,sep,0,800,2,20,UniForCE,9,0.1891024112701416,0.3029193400287529,0.7136474402292683,0.7262229625984804
sep_k20_d2,sep,1,800,2,20,UniForCE,7,0.18782615661621094,0.3421713711476347,0.682641038320288,0.6927491636180991
sep_k20_d2,sep,2,800,2,20,UniForCE,11,0.19220781326293945,0.44983022405708595,0.77665054422211,0.7880044950990795
sep_k20_d2,sep,3,800,2,20,UniForCE,5,0.1978013515472412,0.16542723102575416,0.5471234389978505,0.5583255304931863
sep_k20_d2,sep,4,800,2,20,UniForCE,6,0.1688830852508545,0.3484331994069245,0.6827303225562168,0.6910555086928615
sep_k20_d2,sep,5,800,2,20,UniForCE,8,0.2125105857849121,0.4277148495903874,0.7452868515610424,0.7544049149983126
sep_k20_d2,sep,6,800,2,20,UniForCE,7,0.22768950462341309,0.18070327248470625,0.6171190633617454,0.630345191856539
sep_k20_d2,sep,7,800,2,20,UniForCE,10,0.22411513328552246,0.3924613612073344,0.7613222416877633,0.7726716097457987
sep_k20_d2,sep,8,800,2,20,UniForCE,10,0.19944500923156738,0.4688144583833647,0.7857210472360845,0.7954772850970887
sep_k20_d2,sep,9,800,2,20,UniForCE,11,0.18768906593322754,0.5087988433798282,0.7869631451319539,0.7974779530819277
sep_k20_d2,sep,10,800,2,20,UniForCE,6,0.20351743698120117,0.14330277026316943,0.555232345137762,0.5683970157473414
sep_k20_d2,sep,11,800,2,20,UniForCE,12,0.20826959609985352,0.4382186432267741,0.8229968723906581,0.8330523671952561
sep_k20_d2,sep,12,800,2,20,UniForCE,9,0.19945526123046875,0.2981693410150022,0.6851180070278368,0.6984866379251157
sep_k20_d2,sep,13,800,2,20,UniForCE,6,0.20052742958068848,0.21094799537148862,0.600217572758852,0.6118126419945011
sep_k20_d2,sep,14,800,2,20,UniForCE,11,0.21771717071533203,0.4067871076099137,0.7764624777579253,0.787958848232959
sep_k20_d2,sep,15,800,2,20,UniForCE,12,0.21139311790466309,0.4851630538711747,0.8066197065799714,0.8173160524878197
sep_k20_d2,sep,16,800,2,20,UniForCE,11,0.21575045585632324,0.43955530102477347,0.7864764338028968,0.7973686278751908
sep_k20_d2,sep,17,800,2,20,UniForCE,9,0.1870410442352295,0.4302992415812849,0.7542169101559618,0.7642893541705089
sep_k20_d2,sep,18,800,2,20,UniForCE,6,0.1959092617034912,0.15867450866908273,0.5851427612191255,0.5975475208044814
sep_k20_d2,sep,19,800,2,20,UniForCE,7,0.1890873908996582,0.2779713762753778,0.6488765678356186,0.6601621691522989
sep_k20_d10,sep,0,800,10,20,UniForCE,19,0.1921389102935791,0.9301074023334073,0.9616635473948076,0.9648377281723602
sep_k20_d10,sep,1,800,10,20,UniForCE,17,0.20842337608337402,0.8189834697590804,0.9230807639311464,0.928818003153284
sep_k20_d10,sep,2,800,10,20,UniForCE,8,0.20438742637634277,0.19871207745038488,0.6402520163482684,0.6547599370597272
sep_k20_d10,sep,3,800,10,20,UniForCE,20,0.17490625381469727,1.0,1.0,1.0
sep_k20_d10,sep,4,800,10,20,UniForCE,19,0.19030499458312988,0.9291696556994108,0.9633816394116004,0.9664130095259111
sep_k20_d10,sep,5,800,10,20,UniForCE,19,0.19294285774230957,0.9426734857418877,0.9810026699224106,0.982579144357081
sep_k20_d10,sep,6,800,10,20,UniForCE,15,0.18943381309509277,0.6468990591018572,0.8826783069399752,0.8906099341580226
sep_k20_d10,sep,7,800,10,20,UniForCE,18,0.1977384090423584,0.8907021807375302,0.9589310835462104,0.9621715043197829
sep_k20_d10,sep,8,800,10,20,UniForCE,15,0.21596646308898926,0.6584387533796938,0.9027925790538807,0.9094215939999983
