dataset,family,rep,true_k,method,k_hat,ARI,runtime
sep_k2_d50,sep,6,2,CDK 2ec / Gaussian null,2,1.0,4.588886499404907
sep_k2_d50,sep,6,2,CDK 2ec / AD statistic,2,1.0,18.04007315635681
sep_k2_d50,sep,6,2,CDK 2ec / no multiplicity corr.,2,1.0,7.987017869949341
sep_k2_d50,sep,6,2,CDK 2ec / n_min=15,2,1.0,9.922542572021484
sep_k2_d50,sep,6,2,CDK 2ec / n_min=40,2,1.0,4.338574171066284
sep_k2_d50,sep,7,2,CDK 2ec (default),2,1.0,7.411300659179687
sep_k2_d50,sep,7,2,CDK 2ec / Gaussian null,2,1.0,3.924560308456421
sep_k2_d50,sep,7,2,CDK 2ec / AD statistic,2,1.0,19.21282434463501
sep_k2_d50,sep,7,2,CDK 2ec / no multiplicity corr.,2,1.0,7.045843601226807
sep_k2_d50,sep,7,2,CDK 2ec / n_min=15,2,1.0,10.628820657730104
sep_k2_d50,sep,7,2,CDK 2ec / n_min=40,2,1.0,6.125169038772583
sep_k2_d50,sep,8,2,CDK 2ec (default),2,1.0,5.891492366790772
sep_k2_d50,sep,8,2,CDK 2ec / Gaussian null,2,1.0,4.154300451278687
sep_k2_d50,sep,8,2,CDK 2ec / AD statistic,2,1.0,18.969462394714355
sep_k2_d50,sep,8,2,CDK 2ec / no multiplicity corr.,2,1.0,6.196194887161255
sep_k2_d50,sep,8,2,CDK 2ec / n_min=15,2,1.0,9.040133476257324
sep_k2_d50,sep,8,2,CDK 2ec / n_min=40,2,1.0,5.387427091598511
sep_k2_d50,sep,9,2,CDK 2ec (default),2,1.0,4.6908180713653564
sep_k2_d50,sep,9,2,CDK 2ec / Gaussian null,2,1.0,4.508787631988525
sep_k2_d50,sep,9,2,CDK 2ec / AD statistic,2,1.0,16.453902006149292
sep_k2_d50,sep,9,2,CDK 2ec / no multiplicity corr.,2,1.0,5.74287748336792
sep_k2_d50,sep,9,2,CDK 2ec / n_min=15,2,1.0,9.650768041610718
sep_k2_d50,sep,9,2,CDK 2ec / n_min=40,2,1.0,5.519542217254639
sep_k3_d2,sep,1,3,CDK 2ec (default),3,1.0,5.85411548614502
