dataset,family,rep,n,d,true_k,method,k_hat,runtime,ARI,AMI,NMI,conf_lo,conf_hi,n_tests,k_init,sep_evidence,p_median,abs_err,signed_err,exact
sep_k2_d2,sep,4,800,2,2,CDK / no multiplicity corr.,2,4.10878324508667,1.0,1.0,1.0,2.0,7.0,48.0,19.0,0.5625,0.015,0,0,1.0
sep_k2_d2,sep,4,800,2,2,CDK / n_min=15,2,4.531712770462036,1.0,1.0,1.0,2.0,2.0,81.0,31.0,0.2716049382716049,0.12,0,0,1.0
sep_k2_d2,sep,4,800,2,2,CDK / n_min=40,2,1.5804164409637451,1.0,1.0,1.0,2.0,2.0,20.0,10.0,0.45,0.14212962962962963,0,0,1.0
sep_k2_d2,sep,4,800,2,2,Silhouette,2,0.14535069465637207,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,Calinski-Har.,2,0.08764076232910156,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,Davies-Bouldin,2,0.09904217720031738,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,Elbow (Kneedle),6,0.08968925476074219,0.3347020211223037,0.5576760278204558,0.5587953260141736,,,,,,,4,4,0.0
sep_k2_d2,sep,4,800,2,2,Jump statistic,2,0.0845334529876709,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,Gap statistic,2,0.3372471332550049,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,X-means,2,0.008105993270874023,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,G-means,2,0.0076901912689208984,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,dip-means,2,0.033255815505981445,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,ISODATA,7,0.017864227294921875,0.2924893452101734,0.5268812518031999,0.5282404020186383,,,,,,,5,5,0.0
sep_k2_d2,sep,4,800,2,2,MDL split/merge,2,0.005959033966064453,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,GMM+BIC,2,0.15029335021972656,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,GMM+ICL,2,0.1558837890625,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,HDBSCAN,2,0.004607677459716797,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,Bisecting+Sil.,2,0.1097419261932373,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,ORACLE k-means(k*),2,0.002666950225830078,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,CDK (proposed),2,3.2394800186157227,1.0,1.0,1.0,2.0,3.0,39.0,16.0,0.5128205128205128,0.01,0,0,1.0
sep_k2_d2,sep,6,800,2,2,CDK / Gaussian null,2,4.489833354949951,1.0,1.0,1.0,2.0,7.0,39.0,16.0,0.41025641025641024,0.025,0,0,1.0
sep_k2_d2,sep,6,800,2,2,CDK / AD statistic,2,3.8111207485198975,1.0,1.0,1.0,2.0,2.0,39.0,16.0,0.15384615384615385,0.17,0,0,1.0
sep_k2_d2,sep,6,800,2,2,CDK / no multiplicity corr.,2,3.1915459632873535,1.0,1.0,1.0,2.0,6.0,39.0,16.0,0.5384615384615384,0.01,0,0,1.0
sep_k2_d2,sep,6,800,2,2,CDK / n_min=15,2,4.467279672622681,1.0,1.0,1.0,2.0,2.0,91.0,35.0,0.24175824175824176,0.25806451612903225,0,0,1.0
sep_k2_d2,sep,6,800,2,2,CDK / n_min=40,2,1.8970882892608643,1.0,1.0,1.0,2.0,2.0,23.0,11.0,0.391304347826087,0.2692307692307692,0,0,1.0
sep_k2_d2,sep,6,800,2,2,Silhouette,2,0.1709599494934082,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,Calinski-Har.,2,0.0971975326538086,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,Davies-Bouldin,2,0.11365985870361328,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,Elbow (Kneedle),6,0.11053109169006348,0.33288422224166897,0.5570855753502788,0.5582051586043237,,,,,,,4,4,0.0
sep_k2_d2,sep,6,800,2,2,Jump statistic,2,0.09842729568481445,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,Gap statistic,2,0.4186716079711914,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,X-means,2,0.008608579635620117,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,G-means,2,0.007016181945800781,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,dip-means,2,0.03378176689147949,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,ISODATA,7,0.01777029037475586,0.291379744910714,0.5264490884087206,0.5278083264874605,,,,,,,5,5,0.0
sep_k2_d2,sep,6,800,2,2,MDL split/merge,2,0.005417823791503906,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,GMM+BIC,2,0.14969372749328613,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,GMM+ICL,2,0.15550541877746582,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,HDBSCAN,2,0.004808187484741211,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,Bisecting+Sil.,2,0.10453534126281738,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,ORACLE k-means(k*),2,0.002487659454345703,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,CDK (proposed),2,3.100491762161255,1.0,1.0,1.0,2.0,2.0,54.0,21.0,0.37037037037037035,0.2121153846153846,0,0,1.0
sep_k2_d2,sep,7,800,2,2,CDK / Gaussian null,2,5.6131751537323,1.0,1.0,1.0,2.0,4.0,54.0,21.0,0.4074074074074074,0.0225,0,0,1.0
sep_k2_d2,sep,7,800,2,2,CDK / AD statistic,2,5.071460008621216,1.0,1.0,1.0,2.0,2.0,54.0,21.0,0.2777777777777778,0.28846153846153844,0,0,1.0
sep_k2_d2,sep,7,800,2,2,CDK / no multiplicity corr.,2,3.842785596847534,1.0,1.0,1.0,2.0,3.0,54.0,21.0,0.4444444444444444,0.2121153846153846,0,0,1.0
sep_k2_d2,sep,7,800,2,2,CDK / n_min=15,2,5.087059020996094,1.0,1.0,1.0,2.0,2.0,83.0,32.0,0.1927710843373494,0.215,0,0,1.0
sep_k2_d2,sep,7,800,2,2,CDK / n_min=40,2,1.9998888969421387,1.0,1.0,1.0,2.0,2.0,20.0,10.0,0.4,0.10250000000000001,0,0,1.0
sep_k2_d2,sep,7,800,2,2,Silhouette,2,0.16954612731933594,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,Calinski-Har.,2,0.10688948631286621,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,Davies-Bouldin,2,0.11550664901733398,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,Elbow (Kneedle),6,0.09923243522644043,0.3324579785493868,0.5569395440790037,0.5580591966332208,,,,,,,4,4,0.0
sep_k2_d2,sep,7,800,2,2,Jump statistic,2,0.1041877269744873,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,Gap statistic,2,0.39196276664733887,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,X-means,2,0.01087498664855957,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,G-means,2,0.009207725524902344,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,dip-means,2,0.04249429702758789,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,ISODATA,4,0.01905512809753418,0.66738923655035,0.7163590993632442,0.7169113705090105,,,,,,,2,2,0.0
sep_k2_d2,sep,7,800,2,2,MDL split/merge,2,0.007124185562133789,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,GMM+BIC,2,0.19201087951660156,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,GMM+ICL,2,0.19973492622375488,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,HDBSCAN,2,0.0051496028900146484,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,Bisecting+Sil.,2,0.13049936294555664,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,8,800,2,2,ORACLE k-means(k*),2,0.0026853084564208984,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,8,800,2,2,CDK (proposed),2,3.2113382816314697,1.0,1.0,1.0,2.0,3.0,42.0,17.0,0.47619047619047616,0.0175,0,0,1.0
sep_k2_d2,sep,8,800,2,2,CDK / Gaussian null,2,5.017559289932251,1.0,1.0,1.0,2.0,6.0,42.0,17.0,0.5476190476190477,0.01,0,0,1.0
sep_k2_d2,sep,8,800,2,2,CDK / AD statistic,2,4.2341437339782715,1.0,1.0,1.0,2.0,2.0,42.0,17.0,0.2619047619047619,0.1896153846153846,0,0,1.0
sep_k2_d2,sep,8,800,2,2,CDK / no multiplicity corr.,2,3.4988911151885986,1.0,1.0,1.0,2.0,4.0,42.0,17.0,0.5476190476190477,0.0175,0,0,1.0
sep_k2_d2,sep,8,800,2,2,CDK / n_min=15,2,4.417189121246338,1.0,1.0,1.0,2.0,3.0,88.0,33.0,0.26136363636363635,0.25586470267321326,0,0,1.0
